WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,生理,,An action potential is a temporary change in the electrical charge of a nerve cell's membrane.,"The action potential travels along the neuron's axon, allowing for rapid communication between nerve cells.",,action_potential,250920I058,「hh」
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,Propagation refers to the process of transmitting something from one place to another.,The propagation of sound waves can be influenced by the medium through which they travel.,,transmission,250920I058,「hh」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,解剖,,Myelination is the process of forming a myelin sheath around a nerve to improve the speed of electrical impulses.,The effectiveness of signal transmission increases with myelination of the nerve fibers.,,myelin_formation,250920I058,「hh」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/sælˈtɔːr.ə.ri ˈkɒn.dʌk.ʃən/,P.,生物,,Saltatory conduction refers to the process by which nerve impulses jump between gaps in the myelin sheath of neurons.,"In saltatory conduction, the electrical signal travels faster along the myelinated axon than it would along an unmyelinated one.",,jumping_conduction,250920I058,「hh」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːˌmaɪ.əˈleɪ.tɪŋ dɪsˈɔːrdərz/,P.,醫學,,"Demyelinating disorders are conditions that damage the protective covering of nerves, known as myelin.",Multiple sclerosis is one of the most common demyelinating disorders affecting the central nervous system.,,demyelinating_disorders,250920I058,「hh」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.trəʊˈkɛm.ɪ.kəl ˈɡreɪ.dənts/,P.,生物,,Lectrochemical gradients refer to the differences in electric potential and chemical concentration across a membrane that influence the movement of ions.,The cells in your body use lectrochemical gradients to maintain homeostasis and communicate with one another.,,lectrochemical_gradients,250920I058,「hh」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the change in position of ions within a solution or material.,The ionic movement in the battery helps generate electrical energy.,ionic,ion_movement,250920I058,「hh」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case refers to a situation that is simple and not worth much attention.,"In a legal context, the judge dismissed the trivial case to focus on more significant matters.",trivi,trivial_case,250920I058,「hh」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbren pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the electric potential difference across a cell's plasma membrane.,The membrane potential plays a crucial role in the functioning of neurons.,,membrane_potential,250920I058,「hh」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ tiː peɪ ˈeɪs/,n.,生化,,Atpase is an enzyme that catalyzes the hydrolysis of ATP to ADP and phosphate.,The ATPase activity of the enzyme is crucial for cellular respiration.,,atp_酶,250920I058,「hh」
