AP - 动作电位,M000222,AP,动作电位,,abbr.,,,"AP stands for action potential, which is a rapid rise and fall in voltage or electrical charge across a cell membrane.","The neuron generates an AP in response to a stimulus, allowing communication between nerve cells.",,,251010A036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɒpəˈɡeɪʃən/,n.,物理,,Propagation refers to the transmission of energy through various mediums.,The propagation of sound waves through the air allows us to hear music from a distance.,,,251010A036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,醫學,,Myelination is the process by which myelin forms around the axons of neurons.,The researchers studied the effects of age on the rate of myelination in human brains.,,,251010A036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˌsɒltəˈtɔːri kənˈdʌkʃən/,P.,生物,,Saltatory conduction is the process by which nerve impulses jump from one node of Ranvier to another along a myelinated axon.,"In a myelinated neuron, saltatory conduction significantly increases the speed of the electrical signal compared to continuous conduction.",saltatory conduction,jumping_transmission,251010A036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdɛmaɪəˈleɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,"Demyelinating disorders are diseases that damage the protective covering of nerves, known as myelin.",Multiple sclerosis is one of the most common demyelinating disorders affecting the central nervous system.,,,251010A036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛktrəˈkɛmɪkəl ˈɡreɪdients/,P.,生物,,"Lectrochemical gradients are essential for the functioning of many biological processes, including neuronal signaling.","In neurons, lectrochemical gradients help transmit signals across synapses.",lectro chemical gradient,electricity_of_chemistry_gradient,251010A036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɒnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the process in which ions move in response to an electric field or concentration gradient.,The study of ionic movement is crucial in understanding how batteries operate during discharging.,ionic movement,ion_transport,251010A036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case is one that is simple and not worth much consideration.,"In the discussion about complex algorithms, the engineer dismissed the problem as a trivial case.",trivial case,simple_situation,251010A036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbren pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the electrical potential difference across a cell membrane.,"In neurons, the membrane potential plays a crucial role in transmitting signals.",membrane potential,electrical_potential_difference_across_a_cell_membrane,251010A036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ ti pi ˌeɪ s/,n.,生物,,ATPase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,The ATPase activity was measured to determine the enzyme's efficiency in the metabolic process.,,,251010A036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,,The S-P pump is essential for maintaining the sodium and potassium balance in cells.,"In the human body, the S-P pump plays a crucial role in nerve signal transmission and muscle contraction.",,,251010A036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪən pʌmp/,P.,生物,,An ion pump is a membrane protein that facilitates the movement of ions across a cell membrane.,The ion pump in the neuron allows for the regulation of sodium and potassium levels essential for signal transmission.,,,251010A036,
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊlərɪˈzeɪʃən/,n.,生物,,Depolarization is the process that reduces the difference in charge across a cell membrane.,"During the action potential of a neuron, depolarization occurs as sodium ions rush into the cell.",,,251010A036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization refers to the potential increase in the negativity of a cell's membrane potential.,"After the action potential, the neuron's membrane undergoes hyperpolarization, making it less likely to fire again immediately.",,,251010A036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,A synapse is the junction between two neurons where neurotransmitters are released.,The study focused on the role of the synapse in information processing within the brain.,,,251010A036,
