WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,physiology,,An action potential is a temporary shift in the electrical charge of a cell membrane that occurs during the transmission of a nerve signal.,"If a neuron is depolarized sufficiently, a special series of membrane potential changes known as an action potential (AP) occur",,action_potential,250920F058,「abbr fix」
Propagation - 传导,M000223,Propagation,传导,,abbr.,,,Propagation refers to the process of transmitting something from one place to another.,The propagation of light through different mediums can be observed in prisms.,,transmission,250920F058,「abbr fix」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,,abbr.,anatomy,,Myelination is the process of forming a myelin sheath around the nerves.,The myelination of axons is crucial for the rapid transmission of nerve signals.,,myelin_sheath_formation,250920F058,「abbr fix」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,,abbr.,physiology,,Saltatory conduction refers to the process by which nerve impulses jump between the nodes of Ranvier in myelinated fibers.,Saltatory conduction allows for faster signaling compared to continuous conduction in unmyelinated fibers.,,jumping_conduction,250920F058,「abbr fix」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,,abbr.,medicine,,Demyelinating disorders are conditions that lead to the loss of the protective covering of nerves.,Multiple sclerosis is one of the most common demyelinating disorders.,,myelin_loss_disease,250920F058,「abbr fix」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,,abbr.,biology,,Lectrochemical gradients are variations in the electric charge and concentration of ions across a membrane.,Cells use lectrochemical gradients to drive important biological processes like ATP synthesis.,,electrochemical_gradients,250920F058,「abbr fix」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,,abbr.,chemistry,,Ionic movement refers to the migration of ions during chemical or physical processes.,The ionic movement across the cell membrane is crucial for maintaining its potential.,ionic,ion_movement,250920F058,「abbr fix」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,,abbr.,,,A trivial case refers to a situation or example that is simple and easy to understand or solve.,This problem is a trivial case and can be solved without much effort.,,trivial_case,250920F058,「abbr fix」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,,abbr.,biology,,The membrane potential refers to the voltage difference across a cell membrane.,Changes in membrane potential can lead to nerve impulses.,membrane potential,voltage_difference_across_cell_membrane,250920F058,「abbr fix」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,,abbr.,biochemistry,,ATPase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,The muscle cells contain a high concentration of ATPase to facilitate energy production.,,atp_enzyme,250920F058,「abbr fix」
