AP - 动作电位,M000222,AP,动作电位,,abbr.,,,AP stands for action potential in the context of neuroscience.,"When a neuron reaches its threshold, an AP is generated, allowing it to transmit a signal.",,,251007A036,「claude阅览前测试」
Propagation - 传导,M000223,Propagation,传导,/ˌprɑːpəˈɡeɪʃən/,n.,物理,,"Propagation refers to the process by which something, such as energy or information, is transmitted over a distance.",The propagation of sound waves in the air can be affected by temperature and humidity.,,,251007A036,「claude阅览前测试」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəlaɪˈneɪʃən/,n.,,,Myelination refers to the formation of a myelin sheath around the axons of neurons.,The rate of myelination in infants significantly affects their overall neural development.,,,251007A036,「claude阅览前测试」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˌsælˈtɛrətɔri kənˈdʌkʃən/,P.,生物,,Saltatory conduction occurs when nerve impulses jump between nodes of Ranvier along the axon.,"In my neuroscience class, we learned that saltatory conduction significantly increases the speed of nerve signal transmission compared to continuous conduction.",saltatory conduction,jumping_transmission,251007A036,「claude阅览前测试」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diːˌmaɪəˈleɪnəˌteɪɪŋ dɪsˈɔrdərz/,P.,醫學,,Demyelinating disorders are conditions that cause damage to the protective covering of nerves.,Multiple sclerosis is one of the most common demyelinating disorders affecting young adults.,demyelinating disorders,nerve_covering_damage_conditions,251007A036,「claude阅览前测试」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.trəˈkɛm.ɪ.kəl ˈɡreɪ.di.əntz/,P.,生物,,Lectrochemical gradients are essential for the function of neurons by facilitating the movement of ions across membranes.,"In neuroscience, understanding lectrochemical gradients helps explain how signals are transmitted between neurons.",lectro chemical gradient,pertaining_to electrochemical gradient,251007A036,「claude阅览前测试」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuːvəmənt/,P.,化學,,Ionic movement refers to the process by which ions migrate through a medium.,"In electrolysis, ionic movement is essential for the conduction of electricity through the solution.",ionic movement,ion_migration,251007A036,「claude阅览前测试」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case refers to a situation that is considered simple or unimportant.,"In mathematics, solving a trivial case is often much easier than tackling the complex ones.",trivial case,simple_situation,251007A036,「claude阅览前测试」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbren pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the electrical potential difference across a cell's membrane.,The membrane potential in neurons plays a crucial role in transmitting signals throughout the body.,membrane potential,electrical_potential_difference_across_a_cell's_membrane,251007A036,「claude阅览前测试」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ ti piˌeɪz/,n.,生物,,ATPase is an enzyme that hydrolyzes ATP to release energy.,"In muscle cells, ATPase plays a crucial role in energy production during contraction.",,,251007A036,「claude阅览前测试」
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,,The S-P pump is crucial for maintaining the electrolyte balance in cells.,"In medical research, the function of the S-P pump is often studied to understand cellular processes.",,,251007A036,「claude阅览前测试」
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪɒn pʌmp/,P.,生物,,An ion pump is a protein that transports ions across a cell membrane.,The ion pump in the cell membrane helps maintain the necessary balance of ions for proper cell function.,ion pump,transport_of_ions_across_cell_membrane,251007A036,「claude阅览前测试」
Depolarization - 去极化,M000234,Depolarization,去极化,/ˌdiːˌpoʊlərɪˈzeɪʃən/,n.,生物,,Depolarization occurs when the membrane potential becomes less negative than during a resting state.,The depolarization of the neuron's membrane triggered an action potential.,,,251007A036,「claude阅览前测试」
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,,Hyperpolarization is a change in a cell's membrane potential that makes it more negative.,The hyperpolarization of the neuron helped to prevent it from firing again immediately after an action potential.,,,251007A036,「claude阅览前测试」
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,,,A synapse is the junction between two nerve cells where impulses pass by diffusion of a neurotransmitter.,The synapse plays a crucial role in how signals are transmitted in the brain.,,,251007A036,「claude阅览前测试」
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpoʊlərɪˈzeɪʃən/,n.,醫學,,Repolarization is the process by which a cell restores its resting membrane potential after depolarization.,"During the cardiac cycle, repolarization of the heart muscle cells is crucial for its timely contraction.",,,251007A036,「claude阅览前测试」
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdənt/,P.,生物,,A chemical gradient refers to the difference in concentration of a chemical substance between two regions.,The movement of ions across the cell membrane is driven by the chemical gradient established by transport proteins.,,,251007A036,「claude阅览前测试」
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular processes occur inside the cell.,The study focused on the role of intracellular signaling in cancer growth.,,,251007A036,「claude阅览前测试」
