WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,生理,,"AP refers to the action potential, which is a rapid rise and fall in voltage or membrane potential across a cellular membrane.","If a neuron is depolarized sufficiently, a special series of membrane potential changes known as an action potential (AP) occur",,,250920O058,
Propagation - 传导,M000223,Propagation,传导,,abbr.,,,Propagation refers to the process by which something is spread or transmitted from one place to another.,The propagation of light through different media can affect its speed.,,,250920O058,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,,abbr.,解剖,,Myelination is the process by which the myelin sheath forms around the nerves.,Myelination is crucial for the rapid transmission of nerve impulses in the nervous system.,,,250920O058,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,,abbr.,生物,,Saltatory conduction occurs when nerve impulses jump from one node of Ranvier to another along myelinated axons.,"In myelinated axons, saltatory conduction allows for faster signal transmission.",,,250920O058,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,,abbr.,醫學,,Demyelinating disorders are medical conditions that lead to damage of the myelin sheath insulating the nerves.,Many patients with demyelinating disorders experience significant neurological symptoms.,,,250920O058,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,,abbr.,生物,,Lectrochemical gradients are important in the processes of energy conversion and storage in biological systems.,"In neurons, lectrochemical gradients play a crucial role in creating action potentials.",,,250920O058,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,,abbr.,化學,,"Ionic movement refers to the process by which charged particles, or ions, move through a medium.",The ionic movement in the solution was crucial for the battery's performance.,,,250920O058,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,,abbr.,,,A trivial case is a situation that is simple or straightforward and does not require much consideration or effort.,"In the context of legal matters, a trivial case can usually be resolved quickly without extensive debate.",,,250920O058,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,,abbr.,生物,,Membrane potential refers to the difference in electric charge across the plasma membrane of a cell.,The membrane potential of a neuron is crucial for the transmission of electrical signals.,,,250920O058,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,,abbr.,生化,,"Atpase is an enzyme that catalyzes the hydrolysis of ATP to ADP, releasing energy. ",The Atpase in the cell membrane helps to regulate ion concentrations.,,,250920O058,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,sodium-potassium pump,abbr.,生物,,The S-P pump is vital for maintaining the electrochemical gradient across cell membranes.,"This pump maintains essential gradients across the cell membrane, crucial for nerve impulse transmission.",,,250920O058,
Ion pump - 离子泵,M000233,Ion pump,离子泵,,abbr.,,,An ion pump is a protein that transports ions across a cell membrane.,The ion pump plays a crucial role in maintaining the electrochemical gradient in cells.,,,250920O058,
Depolarization - 去极化,M000234,Depolarization,去极化,,abbr.,生理,,"Depolarization is the process by which a cell's membrane potential becomes less negative, moving it towards a neutral state.","During the action potential, depolarization occurs as sodium ions rush into the neuron.",,,250920O058,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,,abbr.,生理,,"Hyperpolarization refers to an increase in a cell's membrane potential, making it more negative than the resting potential.",The neuron's hyperpolarization made it less likely to fire an action potential.,,,250920O058,
Synapse - 突触,M000236,Synapse,突触,,abbr.,生物,,"A synapse is the junction between two nerve cells, where impulses pass by diffusion of a neurotransmitter.",Neurons transmit signals across synapses to communicate with each other.,,,250920O058,
