AP - 动作电位,M000222,AP,动作电位,,abbr.,生物,,"AP stands for action potential, a rapid rise and subsequent fall in voltage or membrane potential across a cellular membrane.","The neuron generated an AP in response to the stimulus, enabling signal transmission.",,,251013D036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɑːpəˈɡeɪʃən/,n.,物理,,Propagation refers to the transmission of light or sound through a medium.,The propagation of heat through a metal rod can be observed in a laboratory experiment.,pro pag,forward fasten,251013D036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈleɪʃən/,n.,生物,,Myelination is the process of forming a myelin sheath around nerve fibers.,The rapid myelination of nerve fibers occurs during early childhood development.,myel in ation,marrow fiber process,251013D036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,生物,,Saltatory conduction is a process where nerve impulses jump between the nodes of Ranvier in myelinated axons.,"In multiple sclerosis, the breakdown of myelin disrupts saltatory conduction, leading to a variety of neurological symptoms.",salt ator y con duct ion,jump agent relating_to together lead action,251013D036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/diːˈmaɪəlɪneɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,"Demyelinating disorders are conditions that result in damage to the protective covering, myelin, of nerve fibers in the central and peripheral nervous systems.",Multiple sclerosis is one of the most well-known demyelinating disorders.,de myelin ate,remove nerve_fiber_cover pertaining_to,251013D036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,,P.,生物,,Electrochemical gradients drive ions across membranes in cells.,The neuron uses electrochemical gradients to transmit signals.,electro chemic al,electric chemical related_to,251013D036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑːnɪk ˈmuːvmənt/,P.,化學,,Ionic movement refers to the migration of ions within a solution or across a membrane.,"In electrochemistry, the study of ionic movement is crucial for understanding battery function.",ion ic,ion pertaining_to,251013D036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,A trivial case is a situation that is simple and without complication.,"In mathematics, a trivial case often serves to illustrate a basic principle without added complexity.",tri via al cas,three way relating_to happening,251013D036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,The membrane potential is the electrical potential difference across a cell's plasma membrane.,Changes in membrane potential can trigger nerve impulses.,membrane potentia,thin_layer of_power,251013D036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˌeɪˌtiːˈpiːeɪz/,n.,生化,,Atpase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,Atpase activity is crucial for muscle contraction and other cellular processes.,atp ase,adenosine_triphosphate enzyme,251013D036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,/ˌɛs ˈpi pʌmp/,P.,生物,,The S-P pump is an essential cellular mechanism that exchanges sodium and potassium ions across the cell membrane.,Research on the S-P pump has advanced our understanding of how nerve impulses are transmitted electrically.,peri cardium,around heart,251013D036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/ˈaɪ.ɑn pʌmp/,P.,生物,,An ion pump is a device that uses electromagnetic fields to transport ions across a membrane or other medium.,The biologist studied how the ion pump regulates the cell's internal environment by controlling ion flow.,ion pump,charged_particle device,251013D036,
