AP - 动作电位,M000222,AP,动作电位,,abbr.,,,AP represents action potential in neural communications.,The neuron fired an AP after receiving sufficient stimulus.,,,251013B036,
Propagation - 传导,M000223,Propagation,传导,/ˌprɑːpəˈɡeɪʃən/,n.,物理,,"Propagation refers to the process of transmission of signals, waves, or energy through a medium.",The propagation of sound through the air is affected by temperature and humidity.,pro pag,forward fasten,251013B036,
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈleɪʃən/,n.,生物,,Myelination is the process by which axons are coated with a protective myelin sheath.,The rate of myelination is crucial for proper nervous system development in infants.,myel in ation,marrow fiber process,251013B036,
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,/ˈsɔltəˌtɔri kənˈdʌkʃən/,P.,生物,,Saltatory conduction is the process by which nerve impulses quickly jump across myelinated neurons.,"Nodes of Ranvier play a crucial role in saltatory conduction, allowing impulses to jump between gaps in the myelin sheath.",saltatory conduction,jumping transmission,251013B036,
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiˌmaɪəˈleɪnɪtɪŋ dɪsˈɔrdərz/,P.,醫學,,Demyelinating disorders are conditions that damage the myelin sheath of nerve fibers.,Multiple sclerosis is one of the most well-known demyelinating disorders.,de myelin ate,removal myelin pertaining_to,251013B036,
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,,P.,生物,RARE,"A lectrochemical gradient is a gradient of electrochemical potential, usually for an ion that can move across a membrane.",The movement of substances across a cell membrane often depends on the lectrochemical gradient.,electro chemical,electric chemical,251013B036,
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuvmənt/,P.,化學,,Ionic movement refers to the process of ions moving through a medium or across a membrane.,"During the experiment, scientists observed the ionic movement within the electrolyte solution.",ion ic move ment,ion pertaining_to move state_or_process,251013B036,
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,數學,,A trivial case is a situation considered of little importance or complexity.,"In mathematics, a trivial case often refers to an obvious or simple example that requires minimal proof.",,,251013B036,
Membrane potential - 膜电位,M000230,Membrane potential,膜电位,/ˈmɛmˌbreɪn pəˈtɛnʃəl/,P.,生物,,Membrane potential refers to the voltage difference across a cell's plasma membrane.,Neural signals are transmitted in the form of changes in membrane potential.,membra potentia,skin power,251013B036,
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈætpeɪs/,n.,生化,,Atpase is an enzyme that catalyzes the decomposition of ATP into ADP and a free phosphate ion.,The Atpase activity was crucial for the muscle's energy conversion process.,atp ase,adenosine_triphosphate enzyme,251013B036,
S-P pump - 钠-钾泵,M000232,S-P pump,钠-钾泵,,abbr.,生物,,The S-P pump is essential for maintaining the electrochemical gradient across cell membranes.,The disruption of the S-P pump can lead to various cellular dysfunctions.,,,251013B036,
Ion pump - 离子泵,M000233,Ion pump,离子泵,/aɪˈɑn pʌmp/,P.,物理,,An ion pump is a type of vacuum pump that moves gas ions across a pressure gradient.,Ion pumps are commonly used in scientific research to maintain ultrahigh vacuum environments.,ion pump,charged_particle air_suction_device,251013B036,
Depolarization - 去极化,M000234,Depolarization,去极化,/diˌpoʊlərɪˈzeɪʃən/,n.,生物,,Depolarization is the process during which a cell's membrane potential becomes less negative.,"During a nerve impulse, depolarization occurs as sodium ions enter the neuron.",de polar ization,opposite pole process,251013B036,
Hyperpolarization - 超极化,M000235,Hyperpolarization,超极化,/ˌhaɪpərˌpoʊlərɪˈzeɪʃən/,n.,生物,RARE,"Hyperpolarization refers to an increase in a cell's membrane potential, making it more negative.","During the experiment, the neuron experienced hyperpolarization, inhibiting any action potential.",hyper polar ization,excessive pole process,251013B036,
Synapse - 突触,M000236,Synapse,突触,/ˈsɪnæps/,n.,生物,,A synapse is a junction between two nerve cells where impulses pass by diffusion of a neurotransmitter.,"During brain development, the number of synapses dramatically increases.",syn apse,together join,251013B036,
Repolarization - 复极化,M000237,Repolarization,复极化,/ˌriːˌpoʊləraɪˈzeɪʃən/,n.,生物,,Repolarization is the process by which a cell membrane returns to its resting potential after depolarization.,"During an action potential, repolarization is crucial for restoring the cell's resting state.",re pola rization,again pole process_of,251013B036,
Chemical gradient - 化学梯度,M000238,Chemical gradient,化学梯度,/ˈkɛmɪkəl ˈɡreɪdiənt/,P.,生物,,A chemical gradient refers to a gradual change in concentration of a solute within a solution as a function of distance through a dual-sided mass-transport system.,"Cells can sense a chemical gradient and move accordingly, a process known as chemotaxis.",chem ic al grad ient,pertaining_to juice pertaining_to step coming_in,251013B036,
Intracellular - 细胞内,M000239,Intracellular,细胞内,/ˌɪntrəˈsɛljələr/,adj.,生物,,Intracellular refers to something that is located or occurs within a cell.,The intracellular concentration of calcium is crucial for muscle contraction.,intra cell,within cell,251013B036,
Concentration - 浓度,M000240,Concentration,浓度,/ˌkɒnsənˈtreɪʃən/,n.,化學,,Concentration refers to the amount of a substance in a given volume.,The concentration of salt in the solution was too high for the experiment.,con centr ation,together center the_act_of,251013B036,
