Electrogenic cell - 生电性细胞,M000201,Electrogenic cell,生电性细胞,/ɪˌlɛktrəʊˈdʒɛnɪk sɛl/,P.,生物,,An electrogenic cell is a type of cell that generates electrical energy.,electro genic cell,electricity_producing_cell,250916N016,「pythontest4」
Organelle - 细胞器,M000202,Organelle,细胞器,/ɔrˈɡænɛl/,n.,生物,,An organelle is a specialized structure within a cell that performs a specific function.,,,250916N016,「pythontest4」
Regulate - 调节,M000203,Regulate,调节,/ˈrɛɡjʊˌleɪt/,vt.,生物,,To regulate means to control or maintain the rate or speed of something.,,,250916N016,「pythontest4」
Myelin sheath - 髓鞘,M000204,Myelin sheath,髓鞘,/ˈmaɪəlɪn ʃiːθ/,P.,生物,,The myelin sheath is a protective covering that surrounds nerve fibers.,myelin sheath,protective_covering,250916N016,「pythontest4」
Neurobiology - 神经生物学,M000205,Neurobiology,神经生物学,/ˌnʊəroʊbaɪˈɒlədʒi/,n.,生物,,Neurobiology is the study of the biology of the nervous system.,neuro bio logy,nerve life_study,250916N016,「pythontest4」
Receptor - 受体,M000206,Receptor,受体,/rɪˈsɛptər/,n.,生物,,A receptor is a protein molecule that receives and responds to chemical signals in the body.,,,250916N016,「pythontest4」
ANS - 自主神经系统,M000207,ANS,自主神经系统,/ˈeɪˌɛnˈɛs/,abbr.,醫學,,ANS stands for the autonomic nervous system.,,,250916N016,「pythontest4」
SNS - 交感神经系统,M000208,SNS,交感神经系统,,abbr.,醫學,,SNS stands for the sympathetic nervous system.,,,250916N016,「pythontest4」
Forebrain - 前脑,M000209,Forebrain,前脑,/ˈfɔrˌbreɪn/,n.,生物,,"The forebrain is the largest part of the brain, responsible for complex behaviors and cognitive functions.",fore brain,front_part,250916N016,「pythontest4」
Hindbrain - 后脑,M000210,Hindbrain,后脑,/ˈhɪndˌbreɪn/,n.,生物,,The hindbrain is the part of the brain that includes the cerebellum and the brainstem.,hind brain,back_part_of_brain,250916N016,「pythontest4」
Radiology - 放射学,M000211,Radiology,放射学,/ˌreɪdiˈɑlədʒi/,n.,醫學,,Radiology is the branch of medicine that uses imaging to diagnose and treat diseases.,radio logy,radiation_study,250916N016,「pythontest4」
Cortical - 皮层的,M000212,Cortical,皮层的,/ˈkɔrtɪkəl/,adj.,生物,,Cortical refers to anything related to the cortex of an organ or structure.,cort,outer_layer,250916N016,「pythontest4」
Apical dendrite - 顶端树突,M000213,Apical dendrite,顶端树突,/ˈeɪpɪkəl ˈdɛnˌdraɪt/,P.,,,An apical dendrite is a type of dendrite that extends from the apex of a neuron.,apical dendrite,top_branch,250916N016,「pythontest4」
Basal dendrite - 基底树突,M000214,Basal dendrite,基底树突,/ˈbeɪsəl ˈdɛnˌdraɪt/,P.,生物,,A basal dendrite is a type of dendrite that extends from the base of a neuron.,basal dendrite,base_dendrite,250916N016,「pythontest4」
Corpus callosotomy - 胼胝体切开术,M000215,Corpus callosotomy,胼胝体切开术,/ˈkɔːrpəs kəˌloʊsəˈtɑːmi/,P.,醫學,RARE,Corpus callosotomy is a surgical procedure that involves cutting the corpus callosum.,corpus callo tomy,body_of_corpus cutting,250916N016,「pythontest4」
VTA - 腹侧被盖区,M000216,VTA,腹侧被盖区,,abbr.,,,"VTA stands for the ventral tegmental area, which is involved in the reward circuitry of the brain.",,,250916N016,「pythontest4」
Basis pedunculi - 基底脚,M000217,Basis pedunculi,基底脚,/ˈbeɪsɪs pɪˈdʌŋkjʊlaɪ/,P.,生物,RARE,The basis pedunculi is a structure in the brain that connects various regions.,basis pedunculi,base_of_stalks,250916N016,「pythontest4」
Olive - 橄榄核,M000218,Olive,橄榄核,/ˈɑːlɪv/,n.,植物,,"An olive is the fruit of the olive tree, often used to produce olive oil.",,,250916N016,「pythontest4」
Pyramid - (延髓)锥体,M000219,Pyramid,(延髓)锥体,/ˈpɪr.ə.mɪd/,n.,數學,,"A pyramid is a geometric shape that tapers from a base to a point, resembling a three-dimensional triangle.",,,250916N016,「pythontest4」
