Term,Tag
agriculture,農業
architecture,建築
town planning,城規
computer science,計科
engineering,工程
astronautics,航天
electrotechnics,電工
medicine,醫學
dentistry,牙醫
pharmacy,藥學
psychiatry,精神
radiology,放射
surgery,外科
veterinary,獸醫
archaeology,考古
art,藝術
dance,舞蹈
drawing,繪畫
music,音樂
photography,攝影
jewellery,珠寶
sculpture,雕塑
theatre,戲劇
astrology,占星
history,歷史
linguistics,語言
literature,文學
philosophy,哲學
psychology,心理
psychoanalysis,精分
mythology,神話
occultism,神祕
theology,神學
person,人物
betting,賭博
card,紙牌
chess,國象
sport,體育
archery,射箭
athletics,田徑
badminton,羽球
baseball,棒球
basketball,籃球
bowling,保齡
boxing,拳擊
cricket,板球
cycling,單車
diving,跳水
fencing,擊劍
fishing,釣魚
football,欖球
golf,高球
hockey,冰球
hunting,狩獵
mountaineering,登山
racing,賽車
rowing,賽艇
skating,滑冰
skiing,滑雪
soccer,足球
sub,潛水
swimming,游泳
table tennis,乒乓
tennis,網球
volleyball,排球
wrestling,摔跤
metrology,計量
astronomy,天文
biology,生物
anatomy,解剖
biochemistry,生化
botany,植物
ecology,生態
genetics,遺傳
physiology,生理
chemistry,化學
geography,地理
geology,地質
meteorology,氣象
oceanography,海洋
paleontology,古生
mathematics,數學
physics,物理
administration,行政
anthropology,人類
ethnology,民族
economy,經濟
law,法學
military,軍事
politics,政治
sociology,社會
cinema,電影
transport,交通
aeronautic,航空
merchant navy,海運
railway,鐵路
