WMpair,MemoID,Word,ZhDef,IPA,POS,Tag,Rarity,EnDef,Example,PPfix,PPmeans,BatchID,BatchNote
AP - 动作电位,M000222,AP,动作电位,Action Potential,abbr.,,,"AP stands for action potential, which is a rapid change in membrane potential that occurs in excitable cells.","If a neuron is depolarized sufficiently, a special series of membrane potential changes known as an action potential (AP) occur",,action_potential,250920C058,「tagtagtag」
Propagation - 传导,M000223,Propagation,传导,/ˌprɑːpəˈɡeɪʃən/,n.,,,Propagation refers to the process of spreading something or the way in which something expands or extends.,The propagation of sound waves can be affected by various environmental factors.,pro pagation,spreading,250920C058,「tagtagtag」
Myelination - 髓鞘化,M000224,Myelination,髓鞘化,/ˌmaɪəˈlɪneɪʃən/,n.,,,Myelination refers to the process of forming a myelin sheath around a nerve fiber.,The myelination of nerve fibers is crucial for efficient signal transmission in the nervous system.,myel ination,myelin_formation,250920C058,「tagtagtag」
Saltatory conduction - 跳跃式传导,M000225,Saltatory conduction,跳跃式传导,ˌsɔltəˈtɔri ˌkənˈdʌkʃən,P.,,,Saltatory conduction is the process by which nerve impulses jump from one node of Ranvier to another along a myelinated axon.,This mechanism allows for faster transmission of electrical signals in the nervous system.,saltat-,jumping_transmission,250920C058,「tagtagtag」
Demyelinating disorders - 脱髓鞘疾病,M000226,Demyelinating disorders,脱髓鞘疾病,/ˌdiːˌmaɪəˈleɪtɪŋ dɪsˈɔrdərz/,P.,,,"Demyelinating disorders are conditions that damage the protective covering of nerves, leading to various neurological symptoms.",Multiple sclerosis is one of the most common demyelinating disorders affecting young adults.,de myel in at ing dis ord ers,demyelination_conditions,250920C058,「tagtagtag」
Lectrochemical gradients - 电化学梯度,M000227,Lectrochemical gradients,电化学梯度,/ˌlɛk.trəʊˈkɛm.ɪ.kəl ˈɡreɪ.dɪənts/,P.,,,Lectrochemical gradients refer to the variation in electric charge across a membrane that affects ion movement.,The studying of lectrochemical gradients helps scientists understand how neurons communicate.,,electrochemical_gradients,250920C058,「tagtagtag」
Ionic movement - 离子移动,M000228,Ionic movement,离子移动,/aɪˈɑnɪk ˈmuːvmənt/,P.,,,Ionic movement refers to the transfer of charged ions in a medium.,"During the electrolysis process, ionic movement is crucial for the conduction of electricity.",ionic,ionic_movement,250920C058,「tagtagtag」
Trivial case - 平凡情形,M000229,Trivial case,平凡情形,/ˈtrɪviəl keɪs/,P.,,,A trivial case refers to a situation that is simple and lacks significant complexity.,"In this scenario, the solution is obvious and qualifies as a trivial case.",trivial case,simple_case,250920C058,「tagtagtag」
Membrane potential - 膜电位,M000230,Membrane potential,膜电位, /ˈmɛmˌbren pəˈtɛnʃəl/ ,P.,,,Membrane potential refers to the difference in electric charge across a cell membrane.,The neuron's membrane potential peaked during the action potential phase.,membrane potential,membrane_potential,250920C058,「tagtagtag」
Atpase - ATP 酶,M000231,Atpase,ATP 酶,/ˈeɪ ti ˌpiː ˌeɪ s/,n.,,,ATPase is an enzyme that catalyzes the hydrolysis of ATP to ADP and inorganic phosphate.,The ATPase activity in muscle cells is essential for energy production during contraction.,,atp_酶,250920C058,「tagtagtag」
