Electrogenic cell - 生电性细胞,M000301,Electrogenic cell,生电性细胞,/ɪˌlɛktrəʊˈdʒɛnɪk sɛl/,P.,生物,,An electrogenic cell is a type of cell that generates electrical energy.,electro genic cell,electricity_producing_cell,20250916P016,「pythontestslider」
Organelle - 细胞器,M000302,Organelle,细胞器,/ɔrˈɡænɛl/,n.,生物,,An organelle is a specialized structure within a cell that performs a specific function.,,,20250916P016,「pythontestslider」
Regulate - 调节,M000303,Regulate,调节,/ˈrɛɡjʊˌleɪt/,vt.,生物,,"To regulate means to control or maintain the rate or speed of a process, such as how to regulate temperature.",,,20250916P016,「pythontestslider」
Myelin sheath - 髓鞘,M000304,Myelin sheath,髓鞘,/ˈmaɪəlɪn ʃiːθ/,P.,生物,,The myelin sheath is a protective covering that surrounds nerve fibers.,myelin sheath,protective_covering,20250916P016,「pythontestslider」
Neurobiology - 神经生物学,M000305,Neurobiology,神经生物学,/ˌnʊəroʊbaɪˈɒlədʒi/,n.,生物,,Neurobiology is the study of the biology of the nervous system.,neuro bio logy,nerve life_study,20250916P016,「pythontestslider」
Receptor - 受体,M000306,Receptor,受体,/rɪˈsɛptər/,n.,生物,,A receptor is a protein molecule that receives and responds to chemical signals in the body.,,,20250916P016,「pythontestslider」
ANS - 自主神经系统,M000307,ANS,自主神经系统,,abbr.,醫學,,ANS stands for the autonomic nervous system.,,,20250916P016,「pythontestslider」
SNS - 交感神经系统,M000308,SNS,交感神经系统,,abbr.,生物,,SNS stands for the sympathetic nervous system.,,,20250916P016,「pythontestslider」
Forebrain - 前脑,M000309,Forebrain,前脑,/ˈfɔrˌbreɪn/,n.,生物,,"The forebrain is the largest part of the brain, responsible for complex behaviors and cognitive functions.",fore brain,front_part,20250916P016,「pythontestslider」
Hindbrain - 后脑,M000310,Hindbrain,后脑,/ˈhɪndˌbreɪn/,n.,生物,,The hindbrain is the part of the brain that includes the cerebellum and the brainstem.,hind brain,back_part_of_brain,20250916P016,「pythontestslider」
Radiology - 放射学,M000311,Radiology,放射学,/ˌreɪdiˈɑlədʒi/,n.,醫學,,Radiology is the branch of medicine that uses imaging to diagnose and treat diseases.,radio logy,radiation_study,20250916P016,「pythontestslider」
Cortical - 皮层的,M000312,Cortical,皮层的,/ˈkɔrtɪkəl/,adj.,生物,,Cortical refers to anything related to the cortex of an organ or body part.,cortic,cortex,20250916P016,「pythontestslider」
Apical dendrite - 顶端树突,M000313,Apical dendrite,顶端树突,/ˈeɪpɪkəl ˈdɛnˌdraɪt/,P.,,,An apical dendrite is a type of dendrite that extends from the apex of a neuron.,apical dendrite,top_branch,20250916P016,「pythontestslider」
Basal dendrite - 基底树突,M000314,Basal dendrite,基底树突,/ˈbeɪsəl ˈdɛnˌdraɪt/,P.,,,A basal dendrite is a type of dendrite that extends from the base of a neuron.,basal dendrite,base_of_neuron,20250916P016,「pythontestslider」
Corpus callosotomy - 胼胝体切开术,M000315,Corpus callosotomy,胼胝体切开术,/ˈkɔːrpəs kəˌloʊsəˈtɑːmi/,P.,醫學,RARE,Corpus callosotomy is a surgical procedure that involves cutting the corpus callosum.,corpus callo stomy,body_of_corpus cutting_procedure,20250916P016,「pythontestslider」
VTA - 腹侧被盖区,M000316,VTA,腹侧被盖区,,abbr.,,,"VTA stands for the ventral tegmental area, which is involved in the reward circuitry of the brain.",,,20250916P016,「pythontestslider」
Basis pedunculi - 基底脚,M000317,Basis pedunculi,基底脚,/ˈbeɪsɪs pɪˈdʌŋkjʊlaɪ/,P.,生物,,Basis pedunculi refers to the base of the stalk-like structures in the brain.,basis pedunculi,base_of_stalks,20250916P016,「pythontestslider」
Olive - 橄榄核,M000318,Olive,橄榄核,/ˈɑːlɪv/,n.,植物,,"An olive is the fruit of the olive tree, often used to produce olive oil.",,,20250916P016,「pythontestslider」
Pyramid - (延髓)锥体,M000319,Pyramid,(延髓)锥体,/ˈpɪr.ə.mɪd/,n.,建築,,"A pyramid is a solid object with a polygonal base and triangular sides that meet at a point, often associated with ancient structures.",pyr,fire,20250916P016,「pythontestslider」
Salivary glands - 唾液腺,M000320,Salivary glands,唾液腺,/səˈlaɪvəri ɡlændz/,P.,生物,,Salivary glands are responsible for producing saliva.,salivary glands,saliva_producing_organs,20250916P016,「pythontestslider」
Vestibulocochlear - 前庭蜗神经,M000321,Vestibulocochlear,前庭蜗神经,/ˌvɛstɪbjuˈloʊˌkoʊkliər/,n.,醫學,,The vestibulocochlear nerve is responsible for transmitting sound and equilibrium information from the inner ear to the brain.,vestibulo cochlea,entrance_of inner_ear,20250916P016,「pythontestslider」
Glossopharyngeal - 舌咽神经,M000322,Glossopharyngeal,舌咽神经,/ˌɡlɒsəʊˌfærɪnˈdʒiːəl/,adj.,醫學,,The glossopharyngeal nerve is responsible for the sensation of taste from the posterior one-third of the tongue.,glosso pharyngeal,tongue_throat,20250916P016,「pythontestslider」
Vagus - 迷走神经,M000323,Vagus,迷走神经,/ˈveɪɡəs/,n.,生物,,The vagus is a cranial nerve that plays a crucial role in the autonomic nervous system.,vagu,wandering,20250916P016,「pythontestslider」
Hypoglossal - 舌下神经,M000324,Hypoglossal,舌下神经,/ˌhaɪpəˈɡlɑsəl/,adj.,醫學,,The hypoglossal nerve is responsible for controlling the muscles of the tongue.,hypo gloss al,below tongue pertaining_to,20250916P016,「pythontestslider」
Sympathetic chain - 交感神经干,M000325,Sympathetic chain,交感神经干,/ˌsɪmpəˈθɛtɪk tʃeɪn/,P.,生物,,The sympathetic chain is a part of the autonomic nervous system.,sympathetic chain,autonomic_nervous_system,20250916P016,「pythontestslider」
Arachnoid trabecula - 蛛网膜小梁,M000326,Arachnoid trabecula,蛛网膜小梁,/əˈræk.nɔɪd trəˈbɛk.jʊ.lə/,P.,醫學,RARE,Arachnoid trabecula refers to the delicate strands of tissue found in the arachnoid membrane.,arachnoid trabecula,spider_web_small_beam,20250916P016,「pythontestslider」
Milieu - 环境,M000327,Milieu,环境,/mɪlˈjɜː/,n.,,,The milieu in which one grows up can greatly influence their personality.,,,20250916P016,「pythontestslider」
Extracellular - 细胞外的,M000328,Extracellular,细胞外的,/ˌɛkstrəˈsɛljələr/,adj.,生物,,Extracellular refers to the space outside of cells.,extra cell ul ar,outside_of cell,20250916P016,「pythontestslider」
Interventricular foramen - 室间孔,M000329,Interventricular foramen,室间孔,/ˌɪntərvɛnˈtrɪkjələr fəˈreɪmən/,P.,醫學,,The interventricular foramen is a passage that connects the lateral ventricles of the brain.,inter ventricul ar foramen,between_ventricles_passage,20250916P016,「pythontestslider」
Cerebral aqueduct - 中脑导水管,M000330,Cerebral aqueduct,中脑导水管,/ˈsɛrəbrəl ˈækwəˌdʌkt/,P.,醫學,,The cerebral aqueduct is a narrow channel in the brain that connects the third and fourth ventricles.,cerebral aqueduct,brain_channel,20250916P016,「pythontestslider」
Central canal - 中央管,M000331,Central canal,中央管,/ˈsɛntrəl kəˈnæl/,P.,生物,,The central canal is a small channel that runs through the spinal cord.,central canal,central_channel,20250916P016,「pythontestslider」
SAS - 蛛网膜下腔,M000332,SAS,蛛网膜下腔,,abbr.,醫學,,SAS refers to the subarachnoid space in the human body.,,,20250916P016,「pythontestslider」
Resynthesized - 再合成,M000333,Resynthesized,再合成,/ˌriːˈsɪnθəˌzaɪzd/,vt.,音樂,,The sound was resynthesized to create a new audio experience.,re synthesize,again_create,20250916P016,「pythontestslider」
Utilizes - 利用,M000334,Utilizes,利用,/ˈjuːtəˌlaɪzɪz/,vt.,,,The company utilizes new technology to improve efficiency.,util,use,20250916P016,「pythontestslider」
Metabolic - 代谢的,M000335,Metabolic,代谢的,/məˈtæbəlɪk/,adj.,生物,,Metabolic processes are essential for maintaining life.,meta bol ic,change_throwing_related_to,20250916P016,「pythontestslider」
Glucose - 葡萄糖,M000336,Glucose,葡萄糖,/ˈɡluːkoʊs/,n.,生物,,Glucose is a simple sugar that is an important energy source in living organisms.,,,20250916P016,「pythontestslider」
Circle of willis - 大脑动脉环,M000337,Circle of willis,大脑动脉环,/ˈsɜːrkəl əv ˈwɪlɪs/,P.,醫學,,The Circle of Willis is a circular system of arteries at the base of the brain.,circle of willis,circular_system_of_arteries,20250916P016,「pythontestslider」
Multipolar neuron - 多极神经元,M000338,Multipolar neuron,多极神经元,/ˌmʌltɪˈpoʊlər ˈnjʊrɒn/,P.,生物,,A multipolar neuron is a type of neuron that has multiple extensions for receiving signals.,multi polar neuron,many_poles_neuron,20250916P016,「pythontestslider」
Bipolar neuron - 双极神经元,M000339,Bipolar neuron,双极神经元,/ˈbaɪˌpoʊlər ˈnjʊrɒn/,P.,生物,,"A bipolar neuron is a type of neuron that has two extensions, or processes, from its cell body.",bi polar neuron,two_poles_neuron,20250916P016,「pythontestslider」
Pseudo-unipolar neuron - 伪单极神经元,M000340,Pseudo-unipolar neuron,伪单极神经元,/ˈsuːdoʊ ˌjuːnɪˈpoʊlər ˈnjʊrɒn/,P.,,,A pseudo-unipolar neuron is a type of neuron that has a single axon which splits into two branches.,pseudo uni polar neuron,false_one_pole_neuron,20250916P016,「pythontestslider」
Horn - (脊髓)角,M000341,Horn,(脊髓)角,/hɔrn/,n.,生物,,"A horn is a hard, permanent outgrowth that is typically found on the heads of certain animals.",,,20250916P016,「pythontestslider」
Satellite cells - 卫星细胞,M000342,Satellite cells,卫星细胞,/ˈsætəˌlaɪt sɛlz/,P.,生物,,Satellite cells are a type of stem cell found in muscle tissue.,satellite cells,stem_cells,20250916P016,「pythontestslider」
Polysaccharide - 多糖,M000343,Polysaccharide,多糖,/ˌpɑːliˈsækəraɪd/,n.,生物,,A polysaccharide is a carbohydrate whose molecules consist of a number of sugar molecules bonded together.,poly saccharide,many sugar,20250916P016,「pythontestslider」
Lipid - 脂类,M000344,Lipid,脂类,/ˈlɪpɪd/,n.,生物,,A lipid is a type of organic molecule that is insoluble in water and soluble in organic solvents.,,,20250916P016,「pythontestslider」
Protein - 蛋白质,M000345,Protein,蛋白质,/ˈproʊtiːn/,n.,生物,,Protein is an essential nutrient that plays a crucial role in building and repairing tissues.,,,20250916P016,「pythontestslider」
Nucleic acid - 核酸,M000346,Nucleic acid,核酸,/njuˈkleɪɪk ˈæsɪd/,P.,生物,,Nucleic acid is a biopolymer essential for all known forms of life.,nucle ic acid,core_of acid,20250916P016,「pythontestslider」
Inhibitory - 抑制性,M000347,Inhibitory,抑制性,/ɪnˈhɪbɪtəri/,adj.,生物,,Inhibitory processes are essential for regulating various biological functions.,inhibit ory,to_hold_back or_related_to,20250916P016,「pythontestslider」
Excitatory - 兴奋性,M000348,Excitatory,兴奋性,/ɪkˈsaɪtəˌtɔri/,adj.,生物,,An excitatory signal can increase the likelihood of a neuron firing.,ex cit a tory,out_of_away_stirring,20250916P016,「pythontestslider」
Constituent - 构成部分,M000349,Constituent,构成部分,/kənˈstɪtʃuənt/,n.,語言,,"A constituent is a part of something larger, such as a component of a system.",con stit u ent,with stand one,20250916P016,「pythontestslider」
Capillary - 毛细血管,M000350,Capillary,毛细血管,/kəˈpɪlɛri/,n.,醫學,,A capillary is a small blood vessel that connects arterioles and venules.,,,20250916P016,「pythontestslider」
Induce - 导致,M000351,Induce,导致,/ɪnˈdus/,vt.,生物,,To induce a change means to cause it to happen.,,,20250916P016,「pythontestslider」
Tight junction - 紧密连接,M000352,Tight junction,紧密连接,/taɪt ˈdʒʌŋkʃən/,P.,生物,,A tight junction is a type of connection between cells that prevents the passage of materials between them.,tight junction,close_connection,20250916P016,「pythontestslider」
Lipid-soluble - 脂溶性,M000353,Lipid-soluble,脂溶性,/ˈlɪpɪd ˈsɒljʊbəl/,adj.,生物,,A lipid-soluble substance can dissolve in lipids or fats.,lipid soluble,fat_dissolving,20250916P016,「pythontestslider」
Amino acid - 氨基酸,M000354,Amino acid,氨基酸,/əˈmiːnoʊ ˈæsɪd/,P.,生物,,An amino acid is a building block of proteins.,amino acid,building_block_of_proteins,20250916P016,「pythontestslider」
Appendage - 附属物,M000355,Appendage,附属物,/əˈpɛndɪdʒ/,n.,生物,,An appendage is something that is attached to a larger or more important thing.,append,attach,20250916P016,「pythontestslider」
Astrocyte foot process - 星形胶质细胞足突,M000356,Astrocyte foot process,星形胶质细胞足突,/ˈæstrəˌsaɪt ˈfʊt ˈprɑːsɛs/,P.,生物,,An astrocyte foot process is a structure that connects astrocytes to blood vessels in the brain.,astrocyte foot process,astrocyte_foot_process,20250916P016,「pythontestslider」
Carrier mediated - 载体介导运输,M000357,Carrier mediated,载体介导运输,/ˈkæriər ˈmiːdeɪtɪd/,P.,生物,,Carrier mediated transport refers to the process by which substances are moved across cell membranes with the help of carrier proteins.,carrier mediated,substance_transport,20250916P016,「pythontestslider」
Transcellular passage - 跨细胞通道,M000358,Transcellular passage,跨细胞通道,/trænˈsɛljʊlər ˈpæsɪdʒ/,P.,生物,,Transcellular passage refers to the movement of substances across the cell membrane.,trans cellular passage,across_cell_membrane_movement,20250916P016,「pythontestslider」
